"Row.names" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "#contig_id" "product_name" "kegg_entry" "kegg_definition" "kegg_module" "kegg_module_desc" "kegg_pathway" "kegg_pathway_desc" "pfam_access" "pfam_product_name" "pfam_desc" "tigrfam_access" "tigrfam_name" "tigrfam_product_name" "tigrfam_desc" "cog_access" "cog_name" "cog_function" "cog_category" "kog_access" "kog_name" "kog_function" "kog_category" "ublastp" "ublastp_desc" "tax_kingdom" "tax_phylum" "tax_class" "tax_order" "tax_family" "tax_genus" "tax_specie"
"932" "gene-VARPA_RS04775" 477.932635543777 0.43428495555634 0.12180326132947 3.56546245819827 0.000363215153983177 0.0257412716187607 "NC_014931.1" "NULL" "NULL" "protein of unknown function DUF894 DitE" "NULL" "NULL" "NULL" "NULL" "PF07690.15" "MFS_1" "-" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"937" "gene-VARPA_RS04800" 2897.92090758369 0.375627239246812 0.10439338075338 3.59819019688802 0.000320439254006906 0.0246754147242717 "NC_014931.1" "rlmI" "K06969" "23S rRNA (cytosine1962-C5)-methyltransferase" "NULL" "NULL" "NULL" "NULL" "PF10672.8" "Methyltrans_SAM" "-" "NULL" "NULL" "NULL" "NULL" "COG1092" "COG1092" "Predicted SAM-dependent methyltransferases" "General function prediction only" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"973" "gene-VARPA_RS04990" 21459.3925883578 3.46020769835365 0.721560213291077 4.79545245790569 1.62308062024441e-06 0.000600232265329744 "NC_014931.1" "AroG" "K01626" "3-deoxy-7-phosphoheptulonate synthase" "M00022" "Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate" "ko00400==ko01100==ko01110==ko01230==ko02024" "Phenylalanine, tyrosine and tryptophan biosynthesis==Metabolic pathways==Biosynthesis of secondary metabolites==Biosynthesis of amino acids==Quorum sensing" "PF00793.19" "DAHP_synth_1" "-" "NULL" "NULL" "NULL" "NULL" "COG0722" "AroG" "3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase" "Amino acid transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"974" "gene-VARPA_RS04995" 10461.811343327 2.2727785342915 0.521791957266043 4.35571783474748 1.3263154076214e-05 0.00257733032758429 "NC_014931.1" "K09705" "K09705" "uncharacterized protein" "NULL" "NULL" "NULL" "NULL" "PF06172.10" "Cupin_5" "-" "NULL" "NULL" "NULL" "NULL" "COG3542" "COG3542" "Uncharacterized conserved protein" "Function unknown" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"1058" "gene-VARPA_RS05425" 42479.6273007149 -6.11150233361388 0.985609409977986 -6.2007345625387 5.62002306563684e-10 8.46375473684908e-07 "NC_014931.1" "COG4231" "K04090" "indolepyruvate ferredoxin oxidoreductase" "NULL" "NULL" "NULL" "NULL" "PF01558.17" "POR" "-" "NULL" "NULL" "NULL" "NULL" "COG4231" "COG4231" "Indolepyruvate ferredoxin oxidoreductase, alpha and beta subunits" "Energy production and conversion" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"1070" "gene-VARPA_RS05485" 1123.2834916371 0.506560536011242 0.0980085811500609 5.1685324903913 2.35939275759006e-07 0.000177662274646531 "NC_014931.1" "NULL" "NULL" "alkylhydroperoxidase like protein, AhpD family" "NULL" "NULL" "NULL" "NULL" "PF02627.19" "CMD" "-" "NULL" "NULL" "NULL" "NULL" "COG2128" "COG2128" "Uncharacterized conserved protein" "Function unknown" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"1156" "gene-VARPA_RS05935" 11734.9160230269 -2.92064881630392 0.452171153632754 -6.45916660724453 1.05281153827346e-10 3.17106835327967e-07 "NC_014931.1" "smoE, mtlE" "K10227" "sorbitol/mannitol transport system substrate-binding protein" "NULL" "NULL" "ko02010" "ABC transporters" "PF01547.24" "SBP_bac_1" "-" "NULL" "NULL" "NULL" "NULL" "COG1653" "UgpB" "ABC-type sugar transport system, periplasmic component" "Carbohydrate transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"1157" "gene-VARPA_RS05940" 1550.50980818568 -3.00658510081104 0.481498419117848 -6.2442263181661 4.259029455848e-10 8.46375473684908e-07 "NC_014931.1" "smoF, mtlF" "K10228" "sorbitol/mannitol transport system permease protein" "NULL" "NULL" "ko02010" "ABC transporters" "PF00528.21" "BPD_transp_1" "-" "NULL" "NULL" "NULL" "NULL" "COG1175" "UgpA" "ABC-type sugar transport systems, permease components" "Carbohydrate transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"1158" "gene-VARPA_RS05945" 1302.06634079754 -1.74352991283224 0.427046631529147 -4.08276235920442 4.45035253868857e-05 0.00558519243605415 "NC_014931.1" "smoG, mtlG" "K10229" "sorbitol/mannitol transport system permease protein" "NULL" "NULL" "ko02010" "ABC transporters" "PF00528.21" "BPD_transp_1" "-" "NULL" "NULL" "NULL" "NULL" "COG0395" "UgpE" "ABC-type sugar transport system, permease component" "Carbohydrate transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"1159" "gene-VARPA_RS05950" 1880.25924372743 -3.0297779903251 0.494732700954063 -6.12407060314055 9.12144462977889e-10 1.09895164899576e-06 "NC_014931.1" "malK, mtlK, thuK" "K10111" "multiple sugar transport system ATP-binding protein" "NULL" "NULL" "ko02010" "ABC transporters" "PF00005.26" "ABC_tran" "-" "NULL" "NULL" "NULL" "NULL" "COG3839" "MalK" "ABC-type sugar transport systems, ATPase components" "Carbohydrate transport and metabolism" "KOG0055" "KOG0055" "Multidrug/pheromone exporter, ABC superfamily" "Secondary metabolites biosynthesis, transport and catabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"1160" "gene-VARPA_RS05955" 2129.81112454256 -3.04162235547244 0.503008784601957 -6.04685732850441 1.47698439109144e-09 1.4828923286558e-06 "NC_014931.1" "dalD" "K00007" "D-arabinitol 4-dehydrogenase" "NULL" "NULL" "ko00040==ko00051==ko01100" "Pentose and glucuronate interconversions==Fructose and mannose metabolism==Metabolic pathways" "PF01232.22" "Mannitol_dh" "-" "NULL" "NULL" "NULL" "NULL" "COG0246" "MtlD" "Mannitol-1-phosphate/altronate dehydrogenases" "Carbohydrate transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"1161" "gene-VARPA_RS05960" 896.253587052263 -2.70114972730188 0.411258186251632 -6.56801449211554 5.09905797346589e-11 3.07167252321585e-07 "NC_014931.1" "FabG" "K08261" "D-sorbitol dehydrogenase (acceptor)" "NULL" "NULL" "ko00051==ko01100" "Fructose and mannose metabolism==Metabolic pathways" "PF00106.24" "adh_short" "-" "NULL" "NULL" "NULL" "NULL" "COG1028" "FabG" "Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)" "Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only" "KOG1200" "KOG1200" "Mitochondrial/plastidial beta-ketoacyl-ACP reductase" "Lipid transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"1257" "gene-VARPA_RS06480" 1705.77470667624 -0.704986148675902 0.144655344699766 -4.87355755944663 1.09606313453319e-06 0.000499334271978593 "NC_014931.1" "ABC.PE.P" "K02033" "peptide/nickel transport system permease protein" "NULL" "NULL" "ko02024" "Quorum sensing" "PF00528.21" "BPD_transp_1" "-" "NULL" "NULL" "NULL" "NULL" "COG0601" "DppB" "ABC-type dipeptide/oligopeptide/nickel transport systems, permease components" "Amino acid transport and metabolism / Inorganic ion transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"1258" "gene-VARPA_RS06485" 623.409758088171 -0.700244518773255 0.206022763979059 -3.3988696455137 0.000676649579540526 0.0388467602090732 "NC_014931.1" "ABC.PE.P1" "K02034" "peptide/nickel transport system permease protein" "NULL" "NULL" "ko02024" "Quorum sensing" "PF00528.21" "BPD_transp_1" "-" "NULL" "NULL" "NULL" "NULL" "COG1173" "DppC" "ABC-type dipeptide/oligopeptide/nickel transport systems, permease components" "Amino acid transport and metabolism / Inorganic ion transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"1261" "gene-VARPA_RS06500" 2706.78006251456 -0.73203880534539 0.162390849825846 -4.50788210130346 6.54779412460902e-06 0.00164349632527686 "NC_014931.1" "dsdA" "K01753" "D-serine dehydratase" "NULL" "NULL" "ko00260==ko01100" "Glycine, serine and threonine metabolism==Metabolic pathways" "PF01168.19" "Ala_racemase_N" "-" "NULL" "NULL" "NULL" "NULL" "COG3616" "COG3616" "Predicted amino acid aldolase or racemase" "Amino acid transport and metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"1262" "gene-VARPA_RS06505" 1693.03056693292 -0.733577994745031 0.190802547489581 -3.84469706718716 0.000120701453211398 0.0116042845232476 "NC_014931.1" "NULL" "NULL" "transcriptional regulator, RpiR family" "NULL" "NULL" "NULL" "NULL" "PF01418.16" "HTH_6" "-" "NULL" "NULL" "NULL" "NULL" "COG1737" "RpiR" "Transcriptional regulators" "Transcription" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"1263" "gene-VARPA_RS06510" 2424.56316475919 -0.695265031665688 0.168808444190836 -4.11866263561851 3.81077571548396e-05 0.00494000100763562 "NC_014931.1" "COG3653" "K06015" "N-acyl-D-amino-acid deacylase" "NULL" "NULL" "NULL" "NULL" "PF07969.10" "Amidohydro_3" "-" "NULL" "NULL" "NULL" "NULL" "COG3653" "COG3653" "N-acyl-D-aspartate/D-glutamate deacylase" "Secondary metabolites biosynthesis, transport, and catabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"1277" "gene-VARPA_RS06580" 2925.06929763397 -0.911779560035215 0.237935276275794 -3.83204867435612 0.000127080588019775 0.0116042845232476 "NC_014931.1" "NULL" "NULL" "hypothetical protein" "NULL" "NULL" "NULL" "NULL" "PF04191.12" "PEMT" "-" "NULL" "NULL" "NULL" "NULL" "COG2020" "STE14" "Putative protein-S-isoprenylcysteine methyltransferase" "Posttranslational modification, protein turnover, chaperones" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"1289" "gene-VARPA_RS06640" 39090.2366127041 -4.34515352856365 1.13393151625813 -3.83193646729414 0.000127138575453908 0.0116042845232476 "NC_014931.1" "paaK" "K01912" "phenylacetate-CoA ligase" "M00878" "Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA" "ko00360==ko01100==ko01120==ko05111" "Phenylalanine metabolism==Metabolic pathways==Microbial metabolism in diverse environments==Biofilm formation - Vibrio cholerae" "PF00501.27" "AMP-binding" "-" "NULL" "NULL" "NULL" "NULL" "COG1541" "PaaK" "Coenzyme F390 synthetase" "Coenzyme metabolism" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
"1290" "gene-VARPA_RS06645" 12988.8700790703 -4.67479319635386 1.25887614674792 -3.71346554498657 0.000204440309578625 0.0178485278971252 "NC_014931.1" "paaI" "K02614" "acyl-CoA thioesterase" "NULL" "NULL" "ko00360==ko01100" "Phenylalanine metabolism==Metabolic pathways" "PF03061.21" "4HBT" "-" "NULL" "NULL" "NULL" "NULL" "COG2050" "PaaI" "HGG motif-containing thioesterase, possibly involved in aromatic compounds catabolism" "Secondary metabolites biosynthesis,    transport, and catabolism" "KOG3328" "KOG3328" "HGG motif-containing thioesterase" "General function prediction only" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL" "NULL"
